Event_ID,Code,Event_Type,Category,Status,Location,Suburb,City,Published
P021742674,6I,Unauthorised Street And Drag Racing,Disorder,Closed,-,PARAPARAUMU BEACH,KAPITI,Sat 5:40 PM
P021742660,1U,Traffic Offending,Road Policing,Closed,SOUTHERN MWY,OTARA,AUCKLAND,Sat 5:40 PM
P021742588,1C,Car/Person Acting Suspiciously,Public safety,Closed,-,,,Sat 5:30 PM
P021742554,1C,Car/Person Acting Suspiciously,Public safety,Closed,RON KEAT DR,PAPAKURA,AUCKLAND,Sat 5:30 PM
P021742568,6110,Trespass,Public safety,Closed,BALCAIRN AMBERLEY RD,BALCAIRN,HURUNUI,Sat 5:30 PM
P021742576,1U,Traffic Offending,Road Policing,Cancelled,OLD WAIROA RD,PAPAKURA,AUCKLAND,Sat 5:30 PM
P021742609,1U,Traffic Offending,Road Policing,Closed,-,PAPAKURA,AUCKLAND,Sat 5:30 PM
P021741947,1D,Domestic Dispute,Family violence,Closed,GLEN BROOK RD,OMIHA,AUCKLAND,Sat 5:20 PM
P021742475,1V,Vehicle Collision,Road Policing,Closed,-,WALTHAM,CHRISTCHURCH,Sat 5:20 PM
P021742511,1V,Vehicle Collision,Road Policing,Closed,GEORGE ST,STOKES VALLEY,LOWER HUTT,Sat 5:20 PM
P021742459,3530,Disorder,Disorder,Cancelled,LINCOLN RD,HENDERSON,AUCKLAND,Sat 5:20 PM
P021742467,4320,Theft Ex Shop,Dishonesty,Closed,PALMERS RD,CLENDON PARK,AUCKLAND,Sat 5:20 PM
P021742547,6I,Unauthorised Street And Drag Racing,Disorder,Closed,MATATIRO ST,TITAHI BAY,PORIRUA,Sat 5:20 PM
P021741901,1D,Domestic Dispute,Family violence,Closed,MARAETAI DR,MARAETAI,AUCKLAND,Sat 5:17 PM
P021742441,1510,Serious Assaults,Violence,Closed,HOOPER GR,TAITA,LOWER HUTT,Sat 5:10 PM
P021742443,1640,Minor Assaults,Violence,Closed,THE GLADE,PUKEKOHE,AUCKLAND,Sat 5:10 PM
P021742440,1D,Domestic Dispute,Family violence,Closed,VINO CINA HTS,RANUI,AUCKLAND,Sat 5:10 PM
P021741963,3210,Drugs (Cannabis Only),Drugs,Closed,BARRINGTON ST,SPREYDON,CHRISTCHURCH,Sat 5:10 PM
P021741845,4320,Theft Ex Shop,Dishonesty,Closed,DOWNING ST,GLENFIELD,AUCKLAND,Sat 5:10 PM
P021742376,6I,Unauthorised Street And Drag Racing,Disorder,Closed,-,EYREWELL FOREST,WAIMAKARIRI,Sat 5:10 PM
P021742442,5210,Endangering/Interfering,Property damage,Closed,CONSTABLE ST,NEWTOWN,WELLINGTON,Sat 5:10 PM
P021741970,1D,Domestic Dispute,Family violence,Closed,NIKAU RD,OTAHUHU,AUCKLAND,Sat 5:09 PM
P021741808,1S,Sudden Death,Public safety,Closed,UMERE CR,ELLERSLIE,AUCKLAND,Sat 5:06 PM
P021741969,1C,Car/Person Acting Suspiciously,Public safety,Closed,BRIDGE RD,BIRCHVILLE,UPPER HUTT,Sat 5:00 PM
P021742360,1F,Assist Fire/Ambulance/Traffic,Public safety,Closed,-,,,Sat 5:00 PM
P021742279,3530,Disorder,Disorder,Closed,PETER BUCK RD,NEW WINDSOR,AUCKLAND,Sat 5:00 PM
P021742333,5120,Wilful Damage,Property damage,Closed,JAMES ST,WHAKATANE,WHAKATANE,Sat 5:00 PM
P021742355,1U,Traffic Offending,Road Policing,Closed,SH 1,PEKA PEKA,KAPITI,Sat 5:00 PM
P021742332,1U,Traffic Offending,Road Policing,Closed,PAREMATA HAYWARDS RD,JUDGEFORD,PORIRUA,Sat 5:00 PM
P021742372,1U,Traffic Offending,Road Policing,Closed,-,TAWA,WELLINGTON,Sat 5:00 PM
P021742362,1U,Traffic Offending,Road Policing,Closed,SH 5,HAMURANA,ROTORUA,Sat 5:00 PM
P021742359,1U,Traffic Offending,Road Policing,Closed,SOUTHERN MWY,CONIFER GROVE,AUCKLAND,Sat 5:00 PM
P021742366,5210,Endangering/Interfering,Property damage,Closed,MOORHOUSE AV,SYDENHAM,CHRISTCHURCH,Sat 5:00 PM
